adcode,parent_adcode,level,province,city,district,full_name,longitude,latitude,coordinate_system
110000,,PROVINCE,北京市,,,北京市,116.401144,39.902775,WGS84
110100,110000,CITY,北京市,北京市,,北京市,116.399042,39.903585,WGS84
110101,110100,COUNTY,北京市,北京市,东城区,北京市东城区,116.410090,39.926955,WGS84
110102,110100,COUNTY,北京市,北京市,西城区,北京市西城区,116.359648,39.911232,WGS84
110105,110100,COUNTY,北京市,北京市,朝阳区,北京市朝阳区,116.436927,39.920066,WGS84
110106,110100,COUNTY,北京市,北京市,丰台区,北京市丰台区,116.280688,39.857307,WGS84
110107,110100,COUNTY,北京市,北京市,石景山区,北京市石景山区,116.216950,39.905069,WGS84
110108,110100,COUNTY,北京市,北京市,海淀区,北京市海淀区,116.291634,39.958643,WGS84
110109,110100,COUNTY,北京市,北京市,门头沟区,北京市门头沟区,116.095338,39.939444,WGS84
110111,110100,COUNTY,北京市,北京市,房山区,北京市房山区,116.137177,39.747533,WGS84
110112,110100,COUNTY,北京市,北京市,通州区,北京市通州区,116.723175,39.915190,WGS84
110113,110100,COUNTY,北京市,北京市,顺义区,北京市顺义区,116.655562,40.148777,WGS84
110114,110100,COUNTY,北京市,北京市,昌平区,北京市昌平区,116.224943,40.219702,WGS84
110115,110100,COUNTY,北京市,北京市,大兴区,北京市大兴区,116.335355,39.725606,WGS84
110116,110100,COUNTY,北京市,北京市,怀柔区,北京市怀柔区,116.626109,40.315904,WGS84
110117,110100,COUNTY,北京市,北京市,平谷区,北京市平谷区,117.115026,40.139378,WGS84
110118,110100,COUNTY,北京市,北京市,密云区,北京市密云区,116.837307,40.375880,WGS84
110119,110100,COUNTY,北京市,北京市,延庆区,北京市延庆区,115.968513,40.455825,WGS84
120000,,PROVINCE,天津市,,,天津市,117.195202,39.084303,WGS84
120100,120000,CITY,天津市,天津市,,天津市,117.183850,39.124536,WGS84
120101,120100,COUNTY,天津市,天津市,和平区,天津市和平区,117.208422,39.115870,WGS84
120102,120100,COUNTY,天津市,天津市,河东区,天津市河东区,117.245312,39.127303,WGS84
120103,120100,COUNTY,天津市,天津市,河西区,天津市河西区,117.217099,39.108680,WGS84
120104,120100,COUNTY,天津市,天津市,南开区,天津市南开区,117.144234,39.137412,WGS84
120105,120100,COUNTY,天津市,天津市,河北区,天津市河北区,117.190551,39.146957,WGS84
120106,120100,COUNTY,天津市,天津市,红桥区,天津市红桥区,117.145160,39.166195,WGS84
120110,120100,COUNTY,天津市,天津市,东丽区,天津市东丽区,117.307203,39.085766,WGS84
120111,120100,COUNTY,天津市,天津市,西青区,天津市西青区,117.002848,39.140809,WGS84
120112,120100,COUNTY,天津市,天津市,津南区,天津市津南区,117.350221,38.935960,WGS84
120113,120100,COUNTY,天津市,天津市,北辰区,天津市北辰区,117.129180,39.223428,WGS84
120114,120100,COUNTY,天津市,天津市,武清区,天津市武清区,117.038234,39.382876,WGS84
120115,120100,COUNTY,天津市,天津市,宝坻区,天津市宝坻区,117.303313,39.715781,WGS84
120116,120100,COUNTY,天津市,天津市,滨海新区,天津市滨海新区,117.690170,39.016936,WGS84
120117,120100,COUNTY,天津市,天津市,宁河区,天津市宁河区,117.820460,39.328713,WGS84
120118,120100,COUNTY,天津市,天津市,静海区,天津市静海区,116.969497,38.946986,WGS84
120119,120100,COUNTY,天津市,天津市,蓟州区,天津市蓟州区,117.401744,40.045111,WGS84
130000,,PROVINCE,河北省,,,河北省,114.524464,38.037114,WGS84
130100,130000,CITY,河北省,石家庄市,,河北省石家庄市,114.508979,38.041370,WGS84
130102,130100,COUNTY,河北省,石家庄市,长安区,河北省石家庄市长安区,114.533051,38.036250,WGS84
130104,130100,COUNTY,河北省,石家庄市,桥西区,河北省石家庄市桥西区,114.443800,38.024433,WGS84
130105,130100,COUNTY,河北省,石家庄市,新华区,河北省石家庄市新华区,114.457704,38.049971,WGS84
130107,130100,COUNTY,河北省,石家庄市,井陉矿区,河北省石家庄市井陉矿区,114.055753,38.064651,WGS84
130108,130100,COUNTY,河北省,石家庄市,裕华区,河北省石家庄市裕华区,114.525672,38.006406,WGS84
130109,130100,COUNTY,河北省,石家庄市,藁城区,河北省石家庄市藁城区,114.840709,38.021620,WGS84
130110,130100,COUNTY,河北省,石家庄市,鹿泉区,河北省石家庄市鹿泉区,114.307353,38.085830,WGS84
130111,130100,COUNTY,河北省,石家庄市,栾城区,河北省石家庄市栾城区,114.642122,37.900367,WGS84
130121,130100,COUNTY,河北省,石家庄市,井陉县,河北省石家庄市井陉县,114.139228,38.031557,WGS84
130123,130100,COUNTY,河北省,石家庄市,正定县,河北省石家庄市正定县,114.564605,38.146506,WGS84
130125,130100,COUNTY,河北省,石家庄市,行唐县,河北省石家庄市行唐县,114.547141,38.437037,WGS84
130126,130100,COUNTY,河北省,石家庄市,灵寿县,河北省石家庄市灵寿县,114.376675,38.307116,WGS84
130127,130100,COUNTY,河北省,石家庄市,高邑县,河北省石家庄市高邑县,114.605931,37.615371,WGS84
130128,130100,COUNTY,河北省,石家庄市,深泽县,河北省石家庄市深泽县,115.194733,38.183869,WGS84
130129,130100,COUNTY,河北省,石家庄市,赞皇县,河北省石家庄市赞皇县,114.379850,37.665660,WGS84
130130,130100,COUNTY,河北省,石家庄市,无极县,河北省石家庄市无极县,114.970323,38.178291,WGS84
130131,130100,COUNTY,河北省,石家庄市,平山县,河北省石家庄市平山县,114.179661,38.259589,WGS84
130132,130100,COUNTY,河北省,石家庄市,元氏县,河北省石家庄市元氏县,114.519585,37.766677,WGS84
130133,130100,COUNTY,河北省,石家庄市,赵县,河北省石家庄市赵县,114.769959,37.756223,WGS84
130181,130100,COUNTY,河北省,石家庄市,辛集市,河北省石家庄市辛集市,115.211527,37.942513,WGS84
130183,130100,COUNTY,河北省,石家庄市,晋州市,河北省石家庄市晋州市,115.037966,38.033153,WGS84
130184,130100,COUNTY,河北省,石家庄市,新乐市,河北省石家庄市新乐市,114.677817,38.343410,WGS84
130200,130000,CITY,河北省,唐山市,,河北省唐山市,118.173852,39.629361,WGS84
130202,130200,COUNTY,河北省,唐山市,路南区,河北省唐山市路南区,118.147978,39.623623,WGS84
130203,130200,COUNTY,河北省,唐山市,路北区,河北省唐山市路北区,118.194849,39.623799,WGS84
130204,130200,COUNTY,河北省,唐山市,古冶区,河北省唐山市古冶区,118.440852,39.732517,WGS84
130205,130200,COUNTY,河北省,唐山市,开平区,河北省唐山市开平区,118.256100,39.670395,WGS84
130207,130200,COUNTY,河北省,唐山市,丰南区,河北省唐山市丰南区,118.078719,39.574640,WGS84
130208,130200,COUNTY,河北省,唐山市,丰润区,河北省唐山市丰润区,118.156051,39.831541,WGS84
130209,130200,COUNTY,河北省,唐山市,曹妃甸区,河北省唐山市曹妃甸区,118.454011,39.272301,WGS84
130224,130200,COUNTY,河北省,唐山市,滦南县,河北省唐山市滦南县,118.677708,39.519143,WGS84
130225,130200,COUNTY,河北省,唐山市,乐亭县,河北省唐山市乐亭县,118.906650,39.424749,WGS84
130227,130200,COUNTY,河北省,唐山市,迁西县,河北省唐山市迁西县,118.308412,40.140153,WGS84
130229,130200,COUNTY,河北省,唐山市,玉田县,河北省唐山市玉田县,117.731783,39.900584,WGS84
130281,130200,COUNTY,河北省,唐山市,遵化市,河北省唐山市遵化市,117.959661,40.187959,WGS84
130283,130200,COUNTY,河北省,唐山市,迁安市,河北省唐山市迁安市,118.694999,39.997638,WGS84
130284,130200,COUNTY,河北省,唐山市,滦州市,河北省唐山市滦州市,118.697016,39.739753,WGS84
130300,130000,CITY,河北省,秦皇岛市,,河北省秦皇岛市,119.514223,39.886997,WGS84
130302,130300,COUNTY,河北省,秦皇岛市,海港区,河北省秦皇岛市海港区,119.559122,39.946419,WGS84
130303,130300,COUNTY,河北省,秦皇岛市,山海关区,河北省秦皇岛市山海关区,119.769306,39.977590,WGS84
130304,130300,COUNTY,河北省,秦皇岛市,北戴河区,河北省秦皇岛市北戴河区,119.478345,39.833563,WGS84
130306,130300,COUNTY,河北省,秦皇岛市,抚宁区,河北省秦皇岛市抚宁区,119.238721,39.874969,WGS84
130321,130300,COUNTY,河北省,秦皇岛市,青龙满族自治县,河北省秦皇岛市青龙满族自治县,118.943872,40.406271,WGS84
130322,130300,COUNTY,河北省,秦皇岛市,昌黎县,河北省秦皇岛市昌黎县,119.193675,39.698359,WGS84
130324,130300,COUNTY,河北省,秦皇岛市,卢龙县,河北省秦皇岛市卢龙县,118.886070,39.891469,WGS84
130400,130000,CITY,河北省,邯郸市,,河北省邯郸市,114.533404,36.625756,WGS84
130402,130400,COUNTY,河北省,邯郸市,邯山区,河北省邯郸市邯山区,114.525290,36.594473,WGS84
130403,130400,COUNTY,河北省,邯郸市,丛台区,河北省邯郸市丛台区,114.486945,36.636201,WGS84
130404,130400,COUNTY,河北省,邯郸市,复兴区,河北省邯郸市复兴区,114.456538,36.638564,WGS84
130406,130400,COUNTY,河北省,邯郸市,峰峰矿区,河北省邯郸市峰峰矿区,114.206514,36.419184,WGS84
130407,130400,COUNTY,河北省,邯郸市,肥乡区,河北省邯郸市肥乡区,114.794410,36.548429,WGS84
130408,130400,COUNTY,河北省,邯郸市,永年区,河北省邯郸市永年区,114.530858,36.741708,WGS84
130423,130400,COUNTY,河北省,邯郸市,临漳县,河北省邯郸市临漳县,114.579913,36.322628,WGS84
130424,130400,COUNTY,河北省,邯郸市,成安县,河北省邯郸市成安县,114.664407,36.445331,WGS84
130425,130400,COUNTY,河北省,邯郸市,大名县,河北省邯郸市大名县,115.141937,36.286206,WGS84
130426,130400,COUNTY,河北省,邯郸市,涉县,河北省邯郸市涉县,113.685817,36.585991,WGS84
130427,130400,COUNTY,河北省,邯郸市,磁县,河北省邯郸市磁县,114.367858,36.374841,WGS84
130430,130400,COUNTY,河北省,邯郸市,邱县,河北省邯郸市邱县,115.194049,36.811408,WGS84
130431,130400,COUNTY,河北省,邯郸市,鸡泽县,河北省邯郸市鸡泽县,114.884291,36.911317,WGS84
130432,130400,COUNTY,河北省,邯郸市,广平县,河北省邯郸市广平县,114.915569,36.476789,WGS84
130433,130400,COUNTY,河北省,邯郸市,馆陶县,河北省邯郸市馆陶县,115.275886,36.548122,WGS84
130434,130400,COUNTY,河北省,邯郸市,魏县,河北省邯郸市魏县,114.933588,36.359350,WGS84
130435,130400,COUNTY,河北省,邯郸市,曲周县,河北省邯郸市曲周县,114.951833,36.766192,WGS84
130481,130400,COUNTY,河北省,邯郸市,武安市,河北省邯郸市武安市,114.197574,36.697317,WGS84
130500,130000,CITY,河北省,邢台市,,河北省邢台市,114.491462,37.059717,WGS84
130502,130500,COUNTY,河北省,邢台市,襄都区,河北省邢台市襄都区,114.501525,37.070827,WGS84
130503,130500,COUNTY,河北省,邢台市,信都区,河北省邢台市信都区,114.462154,37.093185,WGS84
130505,130500,COUNTY,河北省,邢台市,任泽区,河北省邢台市任泽区,114.665576,37.121535,WGS84
130506,130500,COUNTY,河北省,邢台市,南和区,河北省邢台市南和区,114.677905,37.005259,WGS84
130522,130500,COUNTY,河北省,邢台市,临城县,河北省邢台市临城县,114.492654,37.443806,WGS84
130523,130500,COUNTY,河北省,邢台市,内丘县,河北省邢台市内丘县,114.506303,37.287009,WGS84
130524,130500,COUNTY,河北省,邢台市,柏乡县,河北省邢台市柏乡县,114.687595,37.482246,WGS84
130525,130500,COUNTY,河北省,邢台市,隆尧县,河北省邢台市隆尧县,114.764595,37.350580,WGS84
130528,130500,COUNTY,河北省,邢台市,宁晋县,河北省邢台市宁晋县,114.934239,37.623961,WGS84
130529,130500,COUNTY,河北省,邢台市,巨鹿县,河北省邢台市巨鹿县,115.031824,37.220604,WGS84
130530,130500,COUNTY,河北省,邢台市,新河县,河北省邢台市新河县,115.244983,37.520172,WGS84
130531,130500,COUNTY,河北省,邢台市,广宗县,河北省邢台市广宗县,115.136620,37.074133,WGS84
130532,130500,COUNTY,河北省,邢台市,平乡县,河北省邢台市平乡县,115.024065,37.063203,WGS84
130533,130500,COUNTY,河北省,邢台市,威县,河北省邢台市威县,115.260865,36.974722,WGS84
130534,130500,COUNTY,河北省,邢台市,清河县,河北省邢台市清河县,115.659292,37.044721,WGS84
130535,130500,COUNTY,河北省,邢台市,临西县,河北省邢台市临西县,115.495288,36.870928,WGS84
130581,130500,COUNTY,河北省,邢台市,南宫市,河北省邢台市南宫市,115.402415,37.358050,WGS84
130582,130500,COUNTY,河北省,邢台市,沙河市,河北省邢台市沙河市,114.497110,36.855201,WGS84
130600,130000,CITY,河北省,保定市,,河北省保定市,115.458184,38.873561,WGS84
130602,130600,COUNTY,河北省,保定市,竞秀区,河北省保定市竞秀区,115.452315,38.876388,WGS84
130606,130600,COUNTY,河北省,保定市,莲池区,河北省保定市莲池区,115.490930,38.882696,WGS84
130607,130600,COUNTY,河北省,保定市,满城区,河北省保定市满城区,115.315956,38.948821,WGS84
130608,130600,COUNTY,河北省,保定市,清苑区,河北省保定市清苑区,115.483643,38.764479,WGS84
130609,130600,COUNTY,河北省,保定市,徐水区,河北省保定市徐水区,115.649774,39.018027,WGS84
130623,130600,COUNTY,河北省,保定市,涞水县,河北省保定市涞水县,115.707495,39.393238,WGS84
130624,130600,COUNTY,河北省,保定市,阜平县,河北省保定市阜平县,114.188729,38.848401,WGS84
130626,130600,COUNTY,河北省,保定市,定兴县,河北省保定市定兴县,115.802101,39.262229,WGS84
130627,130600,COUNTY,河北省,保定市,唐县,河北省保定市唐县,114.976944,38.747821,WGS84
130628,130600,COUNTY,河北省,保定市,高阳县,河北省保定市高阳县,115.773075,38.700136,WGS84
130629,130600,COUNTY,河北省,保定市,容城县,河北省保定市容城县,115.855727,39.042556,WGS84
130630,130600,COUNTY,河北省,保定市,涞源县,河北省保定市涞源县,114.688344,39.359624,WGS84
130631,130600,COUNTY,河北省,保定市,望都县,河北省保定市望都县,115.149104,38.695381,WGS84
130632,130600,COUNTY,河北省,保定市,安新县,河北省保定市安新县,115.929859,38.935425,WGS84
130633,130600,COUNTY,河北省,保定市,易县,河北省保定市易县,115.491208,39.349118,WGS84
130634,130600,COUNTY,河北省,保定市,曲阳县,河北省保定市曲阳县,114.734418,38.613748,WGS84
